"x","label","type","author","title","journal","year","volume","url","abstract","publisher","language","keywords","issn","doi","issue","address","edition","editor","pages","citation","screened_titles","notes","screened_abstracts"
66,"Watham_2020_Biog","ARTICLE","Watham, T. and Srinet, R. and Nandy, S. and Padalia, H. and Sinha, S.K. and Patel, N.R. and Chauhan, P.","Environmental control on carbon exchange of natural and planted forests in Western Himalayan foothills of India","Biogeochemistry",2020,"151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096211406&doi=10.1007%2fs10533-020-00727-x&partnerID=40&md5=c6fb61f9e3ba937a9baf0d02228d9506","India has committed to increase carbon sequestration by forests under the Nationally Determined Contributions (NDC). However, the CO2 carbon exchange characteristics (Gross Primary Productivity, Net Ecosystem Exchange, and Ecosystem respiration) of Indian forests are poorly understood. Immense carbon sequestration opportunities exist with the natural as well as planted forests. Therefore, it becomes vital to assess the potential of existing forests (natural and planted) by means of the most accurate and reliable methods of eddy covariance (EC). It is also important to know the eco-physiological response of the forests towards diurnal, seasonal, and yearly changes in the prevailing environmental conditions. We analyzed CO2 carbon exchange characteristics of a mature moist deciduous forest and a young mixed deciduous plantation located in the sub-tropical climate regime in the western Himalayan foothills of India with the help of co-located EC measurements (2016 to 2018). The study reveals that both the mature forest ( 719.43 gCm 2year 1) and young plantation ( 467.49 gC m 2 year 1) are absorbing a significant amount of atmospheric CO2 carbon. The maximum uptake of atmospheric CO2 occurred during the post-monsoon season in both the forests. The minimum NEE of the mixed deciduous plantation was observed during the leaf fall period while the NEE of the moist deciduous forest was the lowest in monsoon due to a higher respiration rate during monsoon. Among the environmental factors, soil moisture showed maximum control on the productivity of both the forest ecosystems. The value reported in this study can help Forest Survey of India in establishing/assessing emission factor for these particular forest types. This study can also help forest managers in carbon assessment of plantation under NDC. 2020, Springer Nature Switzerland AG.","Springer Science and Business Media Deutschland GmbH","English","canopy exchange;  carbon dioxide;  carbon sequestration;  deciduous forest;  diurnal variation;  eddy covariance;  leaf litter;  plantation;  seasonality;  soil respiration, Himalayas;  India","01682563","10.1007/s10533-020-00727-x","2-3",NA,NA,NA,"291-311","Environmental Control on Carbon Exchange of Natural and Planted Forests in Western Himalayan Foothills of India.","selected",NA,"selected"
67,"Kaur_2020_SoAfJoofBo","ARTICLE","Kaur, H. and Lekhak, M.M. and Chahal, S. and Goutam, U. and Jha, P. and Naidoo, D. and Ochatt, S.J. and Kumar, V.","Nardostachys jatamansi (D.Don) DC.: An invaluable and constantly dwindling resource of the Himalayas","South African Journal of Botany",2020,"135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090965081&doi=10.1016%2fj.sajb.2020.08.010&partnerID=40&md5=8d6a11b178ad36a3ccd2c8aefc5df9b8","The use of medicinal plant species for different therapeutic effects is well recognized around the globe. Nardostachys jatamansi (D.Don) DC. (Family: Caprifoliaceae Juss.), commonly known as Indian spikenard is a critically endangered medicinal plant which grows at high altitudes in the alpine and sub-alpine regions of the Himalayas. Its medicinal use is well-recognized in the Bhutanese, Chinese, Indian, Japanese, Nepalese and Tibetan medicine. Moreover, its medicinal properties are well established in traditional medicines including Ayurveda, Ben-Cao- Shi-Yi, Homer's Iliad, the Old Testament, as in conventional systems. The increasing national and international demand of N. jatamansi, mostly for the rhizomes (underground tissue), as well as illegal/unsustainable harvesting has brought this valuable species to the edge of extinction. Therefore, more research input including in vitro biotechnological approaches is required to ensure its sustainable utilization and long-term conservation. Further research is also needed to improve our current knowledge about its conservation status, clinical relevance, and bioactive components. This review comprehensively summarizes the currently available information on the ethnomedicinal uses, pharmacology, phytochemistry, trade value and potential role of modern plant biotechnology tools for the conservation of this high value plant. 2020 SAAB","Elsevier B.V.","English","alpine environment;  biochemical composition;  biotechnology;  endangered species;  knowledge;  medicinal plant, Himalayas, Aralia racemosa;  Caprifoliaceae;  Nardostachys jatamansi","02546299","10.1016/j.sajb.2020.08.010",NA,NA,NA,NA,"252-267","Nardostachys Jatamansi (D.don) Dc.: An Invaluable and Constantly Dwindling Resource of the Himalayas.","unknown",NA,"excluded"
68,"Bargali_2020_ShenXuebActaEcolSini","ARTICLE","Bargali, V.K. and Bargali, S.S.","Effect of size and altitude on soil organic carbon stock in homegarden agroforestry system in Central Himalaya, India","Shengtai Xuebao/ Acta Ecologica Sinica",2020,"40","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097478871&doi=10.1016%2fJ.CHNAES.2020.10.002&partnerID=40&md5=6582ae71c37b169c6e83db686fc55444","Homegarden agroforestry system has potential to sequester carbon while simultaneously producing agriculture yield and tree products. This study analyzed relationship between homegarden size and soil organic carbon stock (SCS) along an altitudinal gradient in Central Himalaya, India. Homegardens were selected at four altitudes (very low, low, mid and high) and categorized into three size classes viz. small, medium and large. Soil samples from surface (015 cm) and sub surface soils (1530 cm) were collected seasonally and analyzed. Results indicated that SCS ranged between 22.56 and 81.51 t C ha1 and increased with increasing altitude for small homegardens. For medium and large homegardens, it increased up to mid altitude and then decreased in high altitude homegardens. At each altitude, maximum SCS (38.5666.16 t C ha1) was recorded for medium sized homegardens except at high altitude where it was maximum (66.01 t C ha1) for small homegardens. Seasonal variation in SCS showed inconsistent pattern along the altitudinal gradient. The differences in SCS due to size and altitude recorded in the present study are possibly caused by distinct quality of plant material and management practices. 2020 Ecological Society of China. Published by Elsevier B.V. All rights reserved.","Science Press","English","agroforestry;  altitude;  carbon storage;  forest garden;  soil analysis;  soil chemistry;  soil organic matter;  soil quality, Himalayas;  India","10000933","10.1016/J.CHNAES.2020.10.002","6",NA,NA,NA,"483-491","Effect of Size and Altitude on Soil Organic Carbon Stock in Homegarden Agroforestry System in Central Himalaya, India.","unknown",NA,"excluded"
71,"Gwal_2020_ModEarSysandEnv","ARTICLE","Gwal, S. and Singh, S. and Gupta, S. and Anand, S.","Understanding forest biomass and net primary productivity in Himalayan ecosystem using geospatial approach","Modeling Earth Systems and Environment",2020,"6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086741999&doi=10.1007%2fs40808-020-00844-4&partnerID=40&md5=251d7d43d30f9a1b6483f440df1a0a6a","Forest operates as sinksource of the atmospheric CO2; hence, they form the integral part of terrestrial global carbon cycle. Biomass and primary productivity are the crucial dynamic biophysical parameters for understanding the ecosystem functioning in any forested landscape. The present study was performed in Aglar watershed situated in outer Indian Himalayan range. We performed geospatial modeling of plot-level field data on forest above ground biomass (AGB) by correlating it with textural, spectral and linearly transformed variables retrieved from Landsat 8 OLI data using of random forest (RF) machine learning algorithm. We also applied recursive feature elimination function (RFE) to obtain the variables contributing most in AGB prediction. A combination of 24 among 96 variables was identified as the most effective variables. Ground-based AGB varied from 62.54 to 470.98Mgha1, whereas RF-modeled AGB ranged from 48.5 to 407.73Mgha1. Results indicated that RFE selected variables were able to predict AGB with R2 of 0.84, RMSE of 42.03Mgha1, MAE of 34.68 and %RMSE of 19.49Mgha1 which was accepted considering the terrain complexity. Light use efficiency approach was used to model monthly NPP using Landsat 8 OLI data. The results indicated that Quercus mixed forest had highest carbon assimilation (95,148,073.9 gC) followed by Pinus roxburghii (1,863,187.7 gC), Cedrus deodara (5,752,954.1 gC) and mixed forest (2,634,737.1 gC). The seasonal pattern of NPP indicated that its strike peaked in October, whereas December and January were the lean months, suggesting that NPP is governed by climatic factors, viz. PAR, precipitation and temperature. Such watershed-level study in complex Himalayan terrain would help to understand complex biogeochemical processes in basins and ecosystem services provided by the forests. 2020, Springer Nature Switzerland AG.","Springer Science and Business Media Deutschland GmbH","English","algorithm;  biomass;  carbon cycle;  carbon dioxide;  carbon emission;  ecosystem service;  forest dynamics;  Landsat;  machine learning;  net primary production;  watershed, Himalayas","23636203","10.1007/s40808-020-00844-4","4",NA,NA,NA,"2517-2534","Understanding Forest Biomass and Net Primary Productivity in Himalayan Ecosystem using Geospatial Approach.","selected",NA,"excluded"
72,"Wani_2020_Plan","ARTICLE","Wani, I.A. and Kumar, V. and Verma, S. and Jan, A.T. and Rather, I.A.","Dactylorhiza hatagirea (D. don) soo: A critically endangered perennial orchid from the north-west himalayas","Plants",2020,"9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096822206&doi=10.3390%2fplants9121644&partnerID=40&md5=5612f711ae0b51660102ce0c3b3b5924","Dactylorhiza hatagirea (Orchidaceae) is a perennial herb inhabiting sub-alpine to alpine regions, ranging at elevations between 2500 and 5000 m.a.s.l. With palmately lobed rhizome and lanceolate leaves having a sheathing leaf base, it bears pink flowers with purple-colored notches and a curved spur. It finds wide use in ayurveda, siddha, unani, and folk medicine in curing disorders of the circulatory, respiratory, nervous, digestive, skeletal, and reproductive systems, besides boosting the immune system to fight infectious diseases. Secondary metabolites such as dactylorhins AE, dactyloses AB, and others exhibit a wide spectrum of pharmacological activities (antioxidant, antimicrobial, antiseptic, anticancer, and immune enhancing activities). Its use as a dietary supplement was found to be beneficial in increasing testosterone levels, resulting in improved sexual desire and arousal. Incessant overexploitation of this medicinally important herb has resulted in the dwindling of its populations in the wild, which has resulted in its classification as a critically endangered plant species. Efforts involving mass reproduction through in vitro (through tissue culture) and in vivo (by vegetative propagation) means are currently being made to maintain the germplasm of this critically endangered orchid. Holding immense significance in clinical research and drug discovery, work on the genomic front (transcriptomics) has recently been carried out to discover the wealth of unexplored genetic information for this perennial herb. The present study is aimed at reviewing different aspects of the orchid to present collective (summarized) information on this medicinally important herb in the present, particularly its botany, ethnobotanical uses, phytochemistry, and pharmacognosy, along with the strategies that need to be adopted to prevent its overexploitation in natural habitats. 2020 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG","English",NA,"22237747","10.3390/plants9121644","12",NA,NA,NA,"1-17","Dactylorhiza Hatagirea (D. Don) Soo: a Critically Endangered Perennial Orchid from the North-West Himalayas.","unknown",NA,"excluded"
73,"Dar_2020_TropEcol","ARTICLE","Dar, P.A. and Reshi, Z.A.","Impact of alien species on species composition, floristic and functional diversity of aquatic and terrestrial ecosystems","Tropical Ecology",2020,"61","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090126342&doi=10.1007%2fs42965-020-00102-9&partnerID=40&md5=0ef3e5a645ec03f48f1d0d082d50e5ba","Biotic homogenization is a major component of current biodiversity crisis involving increase in floristic, functional and genetic similarity of biotas resulting from species invasions and extirpations. Since habitat type is a good predictor of success of biological invasion at local scale, we studied distribution and abundance of native and alien plant species in eight habitat types namely lakes, wetlands, riparian, roadsides, orchards, grasslands, scrubs, and forests (06 sites each giving a total of 48 sites). For estimating taxonomic homogenization index, we calculated Jaccards similarity index separately for native, alien and alien + native species. We also calculated functional , , and diversity for three functional traits in three different ways i.e. with all species included, with only native species included and with only alien species included. We observed that habitats differ with respect to functional and floristic diversity. Aquatic habitats (species poor) were found to be more homogenous (average A = 0.58) than terrestrial habitats (average A = 0.68) with man-managed habitats (orchards) being taxonomically (average A = 0.59) and functionally (FA = 0.04) most homogenous among terrestrial habitats. Present study revealed that traits of alien plant species play an important role in determining the homogenization potential as invasives (in comparison to naturalized and casuals), perennials (in comparison to annual/biennials), herbaceous (in comparison to shrubs/sub-shrubs/lianas and trees) and submerged plants (in comparison to free floating, rooted floating and emergents) were found more homogenizing. These observations are crucial in understanding the homogenizing effects of alien species and in particular the underlying impact of taxonomic homogenization on functional stability of ecosystems. 2020, International Society for Tropical Ecology.","Springer","English","abundance;  biodiversity;  biological invasion;  floristics;  functional role;  habitat type;  herb;  introduced species;  native species;  shrub;  species diversity;  taxonomy","05643295","10.1007/s42965-020-00102-9","4",NA,NA,NA,"446-459","Impact of Alien Species on Species Composition, Floristic and Functional Diversity of Aquatic and Terrestrial Ecosystems.","selected",NA,"excluded"
82,"Gaira_2020_EcolInfo","ARTICLE","Gaira, K.S. and Dhar, U.","Phenological change modelling for selected Himalayan medicinal herbs using herbarium records: A case study","Ecological Informatics",2020,"60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093679436&doi=10.1016%2fj.ecoinf.2020.101177&partnerID=40&md5=76bea7e288f6f3f9e3d5f669af46827c","Regarding the effects of warming on phenology, essentially that climate warming is advancing vegetation phenology around the globe, and case studies of specific species/regions work to gauge this impact. Thus, we attempted to demonstrate phenological patterns of selected 4 alpine/sub-alpine and 4 temperate medicinal herbs based on higher medicinal value of Indian Himalayan Region (IHR) using total 654 herbarium records and applied Generalized Additive Model (GAM) as non-normal and non-linear application. The GAM demonstrated an advancement in the flowering time for alpine/sub-alpine species (Arnebia benthamii, Meconopsis aculeata, Podophyllum hexandrum) and temperate species (Delphinium denudatum and Dioscorea deltoidea), while delayed flowering for Swertia cordata (p < 0.001). Combining the herbarium records, the model significantly projected advancement in flowering time (2125 days) over the last 100 years only for alpine/sub-alpine species (p < 0.0001). However, the relationship between flowering time and warming winter temperature was predicted advancement in flowering time for alpine/sub-alpine species (610 days per 1 C) and temperate species (811 days per 1 C). The results reveal that long-term herbarium records may be considered as a useful tool for predicting the possible impact of climate change on plant phenology in the IHR using GAM approach. 2020 Elsevier B.V.","Elsevier B.V.","English","ecological modeling;  flowering;  herb;  phenology;  temperate environment, Himalayas, Delphinium denudatum;  Dioscorea deltoidea;  Meconopsis aculeata;  Sinopodophyllum hexandrum;  Swertia cordata","15749541","10.1016/j.ecoinf.2020.101177",NA,NA,NA,NA,NA,"Phenological Change Modelling for Selected Himalayan Medicinal Herbs using Herbarium Records: a Case Study.","selected",NA,"excluded"
89,"Roy_2020_PalaPalaPala","ARTICLE","Roy, B. and Ghosh, S. and Sanyal, P.","Impact of monsoon, vegetation, and landscape on pedogenesis: A case study using organic and inorganic tracers from the Himalayan foreland sediments","Palaeogeography, Palaeoclimatology, Palaeoecology",2020,"556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087387184&doi=10.1016%2fj.palaeo.2020.109854&partnerID=40&md5=a36a81f37c0c94f17ff4a1e8d688d33e","The physical and chemical properties of paleosols are widely used to explain their genesis. However, the physical attributes of paleosols subjected to burial cannot be used for paleoenvironmental reconstructions. In contrast, selective pedogenic tracers such as rare earth (REE) and trace elements, and organic proxies such as pristane/phytane (Pr/Ph) ratios, and D/H and 13C/12C ratios of n-alkanes that are resistant to post-depositional processes can provide insight into pedogenic conditions. Although the upper Miocene Siwalik paleosols from the Himalayan Foreland Basin (HFB) have been used for past vegetation and climate reconstructions, little emphasis has been given to understand their formation. In this regard, the Jabbarkhad Siwaliks of the Kangra sub-basin, identified as distal alluvial fan deposits with records of temporal variability in rainfall and vegetation composition, have been used to investigate the combined impact of depositional environment, topography, climate and vegetation composition on paleosol formation. Prominent negative Eu-anomalies in CI-normalised REE patterns along with uniform ratios of refractory elements suggest a dominant and consistent source of sediments from K-rich granitic upper continental crust. A wide variation in the abundance of REE indicates the modification of sediments by pedogenetic processes. In the Jabbarkhad region, oxic (higher Pr/Ph) and well-drained soils favoured the proliferation of grasses. The high root density and organic turnover of grasses facilitated the development of a mature, strongly leached soil (high Ba/Sr) under high rainfall and humid conditions (lower 2 values). Less mature (lower Ba/Sr) paleosols were developed in low-lying anoxic (Pr/Ph &lt;1) floodplain areas dominated by C3 trees near the active channel. Comparison of soil maturity from the Gangetic floodplain, a modern analogue of the Siwalik sediments, suggests that the spatial variability of paleosol maturity was controlled by the landscape mosaic of the Siwalik floodplain. Since pedogenesis and vegetation distribution are controlled by floodplain morphology, sampling of paleosols with similar pedogenic and geomorphic characteristics is essential for evaluation of vegetation distribution in temporally separated paleosols. 2020 Elsevier B.V.","Elsevier B.V.","English","alluvial fan;  foreland basin;  Miocene;  monsoon;  paleoclimate;  paleosol;  pedogenesis;  rare earth element;  sediment analysis;  trace element;  tracer;  vegetation structure, Gangetic Plain;  Himachal Pradesh;  Himalayas;  India;  Kangra;  Siwalik Hills, Poaceae","00310182","10.1016/j.palaeo.2020.109854",NA,NA,NA,NA,NA,"Impact of Monsoon, Vegetation, and Landscape on Pedogenesis: a Case Study using Organic and Inorganic Tracers from the Himalayan Foreland Sediments.","selected",NA,"selected"
90,"Bajpai_2020_PotNAoSISB.BS","ARTICLE","Bajpai, O. and Dutta, V. and Singh, R. and Chaudhary, L.B. and Pandey, J.","Tree Community Assemblage and Abiotic Variables in Tropical Moist Deciduous Forest of Himalayan Terai Eco-Region","Proceedings of the National Academy of Sciences India Section B - Biological Sciences",2020,"90","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077197039&doi=10.1007%2fs40011-019-01161-2&partnerID=40&md5=9f29303469d1845659944f235d9a95f7","The Himalayan foothills in northern India form one of the distinct eco-climatic regions of the world which affect plant communities. This study aims to analyse tree community assemblage along with associated abiotic variables in the tropical moist deciduous forests of Dudhwa National Park (DNP) in the Terai region. The cluster and non-metric multidimensional scaling (nMDS) analyses grouped the forests of DNP into five major forest types: Sal miscellaneous forest (SMF), Sal-Asna miscellaneous forest (SAMF), low-land miscellaneous forest (LMF), teak plantation (TP) and eucalyptus plantation (EP). Each forest type has its specific species composition and dominance. A sum of 23 site-specific tree species have been found to grow in the study area, with the maximum 14 site-specific species from the SMF followed by LMF and TP with seven and two species, respectively. The nMDS and Pearsons correlation reveal that the different forest communities in Dudhwa National Park are characterized by the variations in abiotic variables (i.e. total organic nitrogen, TON; electrical conductivity, EC; soil bulk density, BD; soil porosity, SP; available phosphorous, P; potassium ion, K; and water holding capacity, WHC; air temperature, AT; and absolute air humidity, AAH). The study also reported 23 site-specific species, which require proper conservation measures due to their low ecological amplitude and narrow range of distribution. 2020, The National Academy of Sciences, India.","Springer","English",NA,"03698211","10.1007/s40011-019-01161-2","4",NA,NA,NA,"873-883","Tree Community Assemblage and Abiotic Variables in Tropical Moist Deciduous Forest of Himalayan Terai Eco-Region.","selected",NA,"selected"
91,"Neha_2020_AgroSyst","ARTICLE","Neha and Bhople, B.S. and Sharma, S.","Seasonal variation of rhizospheric soil properties under different land use systems at lower Shivalik foothills of Punjab, India","Agroforestry Systems",2020,"94","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086787248&doi=10.1007%2fs10457-020-00512-7&partnerID=40&md5=47f73adc6ec6bc6eb2f2e7f2b39f9ea3","The rhizosphere is the unique hotspot that is highly influenced by plant roots and characterized by higher microbial activity and nutrient availability. Land uses modify the rhizospheric soil properties through the stimulatory effects of various root exudates and soil nutrients. The present work was aimed to study rhizosphere soil properties under different land use systems at Ballowal Saunkhri watershed in Punjab state, India. For this study, soil samples were collected from three land use systems (horticulture, farm forest and cropland) at four depths, viz. 015, 1530, 3060 and 6090cm during pre-rainy and post-rainy seasons. The results indicated that farm forestry system had significantly higher soil organic carbon (SOC), cation exchange capacity, micronutrient cations (Zn, Fe, Cu, Mn) and microbial properties (total microbial count, microbial biomass carbon, basal soil respiration, dehydrogenase activity, alkaline phosphatase activity and microbial quotient) compared with other land use systems. However, bulk density, available phosphorus, available potassium and metabolic quotient were observed higher under cropland system. The principle component analysis identified that SOC and available potassium were the most contributing and reliable variables for assessing soil quality for different land use systems. 2020, Springer Nature B.V.","Springer Science+Business Media B.V.","English","agricultural land;  bulk density;  enzyme activity;  land use change;  microbial community;  rhizosphere;  seasonal variation;  soil microorganism;  soil organic matter;  soil respiration, India;  Punjab [India];  Siwalik Hills","01674366","10.1007/s10457-020-00512-7","5",NA,NA,NA,"1959-1976","Seasonal Variation of Rhizospheric Soil Properties under Different Land Use Systems at Lower Shivalik Foothills of Punjab, India.","selected",NA,"selected"
97,"Kumar_2020_ForeScie","ARTICLE","Kumar, A. and Dwivedi, G.K. and Tewari, S. and Paul, J. and Anand, R. and Kumar, N. and Kumar, P. and Singh, H. and Kaushal, R.","Carbon mineralization and inorganic nitrogen pools under terminalia chebula retz.-based agroforestry system in Himalayan Foothills, India","Forest Science",2020,"66","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096635989&doi=10.1093%2fforsci%2ffxaa012&partnerID=40&md5=134f0760f450c23ba1068b027e4bfeb6","Soil organic matter is major terrestrial pool for soil organic carbon (C) and nitrogen (N), and their decomposition is sensitive to vegetation and climate change. Integrated nutrient management (INM) deals with the combined application of chemical fertilizers and organic manures for nutritional requirement of crops and avoid the adverse effect of long-term application of chemical fertilizer on crop production and their sustainability. The present study was carried out to investigate the influence of different nutrient sources on soil C mineralization and inorganic N pools in a Terminalia chebula Retz, based on a agroforestry system. The results showed that the highest CO2 evolution was recorded in 100 percent INM and minimum in farmyard manure treatment after 120 days of incubation. Inorganic N was higher under the agroforestry system than under the open system. Among the different nutrient sources, the highest inorganic N was recorded in a 100 percent INM nutrient source and minimal in wheat straw treatment. The yield of turmeric was higher under the T. chebula-based agroforestry system (20.87 t ha-1) than under the open system (19.27 t ha-1). Results suggest that agroforestry systems using the INM approach can enhance C mineralization and inorganic N concentration with improved crop productivity in the Himalayan foothills. The Author(s) 2020.","Oxford University Press","English","Climate change;  Crops;  Cultivation;  Decay (organic);  Forestry;  Lakes;  Manures;  Mineralogy;  Nitrogen;  Nutrients;  Organic carbon;  Soils, Agroforestry system;  Carbon mineralization;  Chemical fertilizers;  Inorganic nitrogen;  Integrated nutrients;  Soil organic carbon;  Soil organic matters;  Terminalia chebula, Fertilizers, Cultivation;  Farm Crops;  Forestry;  Lakes;  Nitrogen;  Nutrients","0015749X","10.1093/forsci/fxaa012","5",NA,NA,NA,"634-643","Carbon Mineralization and Inorganic Nitrogen Pools under Terminalia Chebula Retz.-Based Agroforestry System in Himalayan Foothills, India.","selected",NA,"excluded"
98,"Salim_2020_EnviEartScie","ARTICLE","Salim, Z. and Khan, M.U. and Malik, R.N.","Concentration, distribution and association of heavy metals in Multi-matrix samples of Himalayan foothill along elevation gradients","Environmental Earth Sciences",2020,"79","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092278321&doi=10.1007%2fs12665-020-09218-6&partnerID=40&md5=99724c91a04c8d30e8b436754d75ffd8","The current research plan was designed to investigate occurrence, source origin and association of heavy metals (HMs) in multi-matrix (road dust, soil and vegetation) samples along elevation gradients of Himalayan foothill, Pakistan. Therefore for this purpose, road dust (n = 28), soil (n = 42) and vegetation (n = 125) samples along different elevation gradients were collected and analyzed for HMs concentrations on flame atomic absorption spectrophotometer. Higher HM concentrations were recorded in soil, dust and vegetation samples at the high elevation zones [Temperate (zone-3) and moist-temperate (zone-4)]. A clear elevation trends for cadmium (Cd), and manganese concentration in soil and Cd concentration in vegetation samples at zones were depicted but on site basis there was no clear elevation trends for the targeted metals. Stable Carbon isotopic method in soil reported that air-borne sources and geological rock outcropping are the main contributors and have shown strong positive relation with elevation, temperature, precipitation, sand, silt, and total organic carbon. Principal component analysis/multiple linear regression predicted multiple HMs pollution sources (long range atmospheric transport (LRAT), wet deposition, parent rock materials, vehicular emissions and to some extent air-borne sources) as contributor in soil, dust and vegetation samples. The geo-accumulation index (Igeo) in soil predicted that all four zones were confirmed as moderately to strongly polluted for Cd; unpolluted to moderately polluted for lead and designated as unpolluted zones for all other HMs. Further, the future in-depth studies regarding LRAT phenomenon is needed to study the fates, behaviors and deposition patterns of HMs in soil and vegetation. 2020, Springer-Verlag GmbH Germany, part of Springer Nature.","Springer Science and Business Media Deutschland GmbH","English","Atmospheric movements;  Deposition;  Dust;  Heavy metals;  Organic carbon;  Roads and streets;  Soils;  Vegetation, Deposition patterns;  Elevation gradient;  Flame atomic absorption spectrophotometer;  Geo-accumulation index;  High elevation zone;  Long-range atmospheric transports;  Manganese concentration;  Total Organic Carbon, Soil pollution, atmospheric transport;  cadmium;  concentration (composition);  dust;  elevation;  geoaccumulation;  heavy metal;  manganese;  mountain environment;  soil pollution;  vegetation structure, Himalayas;  Pakistan","18666280","10.1007/s12665-020-09218-6","20",NA,NA,NA,NA,"Concentration, Distribution and Association of Heavy Metals in Multi-Matrix Samples of Himalayan Foothill along Elevation Gradients.","unknown",NA,"excluded"
100,"Masoodi_2020_JoofEtanEt","ARTICLE","Masoodi, H.U.R. and Sundriyal, R.C.","Richness of non-timber forest products in Himalayan communities - Diversity, distribution, use pattern and conservation status","Journal of Ethnobiology and Ethnomedicine",2020,"16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091544494&doi=10.1186%2fs13002-020-00405-0&partnerID=40&md5=5b19ba131329d4cb6fb70b4d51fc2460","Background: Non-timber forest products (NTFPs) are important resources for sustenance of rural communities; a systematic planning to manage diverse NTFPs may immensely contribute to food and livelihood security of forest dwellers. Considering this, the present study has been undertaken in the Himachal Pradesh state in north India. It aims to provide detailed information on diversity, distribution, use pattern, and conservation status of selected NTFPs that have market potential, and suggest a possible way for their sustained management and possible role in livelihood upgradation of dependent communities. Methodology: An inventory of NTFP species was prepared by collecting secondary information from published scientific studies in journals, books, and other periodicals as well as species being traded as per Forest department records. Search on various online databases were also used (Scopus, Google Scholar, PubMed, ISI Web of Science) using specific search terms such as ""non-timber forest products,""""NTFPs,""""medicinal plants,""""wild edible plants,""and ""Himachal Pradesh,""""Western Himalaya,""and ""Northwest Himalaya.""A list of potential NTFPs was prepared having market value. To evaluate the relative usefulness of different species, a quantitative valuation was also used by calculating various indices, such as use value (UV), relative frequency of citation (RFC), relative importance index (RI), cultural importance index (CI), and cultural value (CV). Results: A total of 811 species have been screened that has significant potential for the State, and categorized in 18 groups as per their use. The family use value was highest for Asteraceae (FUV = 76.75). Among plant parts used, whole plants, roots (including rhizomes and tubers), leaves, flowers, fruits, seeds, stems, and barks were used by the forest dwellers. Maximum NTFPs were collected from the warm temperate zone, followed by the temperate, sub-alpine, sub-tropical, and alpine zones. Sixty-one percent of species had medicinal importance, followed by species used for food and fodder purposes. Although species richness of medicinal plants decreased with altitude, however, most plants extracted from high altitudes were high-value species fetching better income. As many as 125 NTFPs were identified under the diverse level of threats according to IUCN criteria and as per the local stakeholders' perceptions. Conclusion: High dependence on NTFPs by poor and marginal communities for domestic needs as well as market demand of selected species leads to create excessive pressure on them. Unfortunately, the state agencies are not having any robust conservation plan for NTFPs. For long-term management of NTFPs sector, a species-specific conservation strategy, proper harvesting protocol, cultivation practices, the supply of quality planting material, product development and diversification, value chain development, and ensured market is greatly desired. This will not only lead to conserving NTFPs resources in their natural habitats but also lead a sustainable livelihood generation for forest dwellers. 2020 The Author(s).","BioMed Central Ltd","English","altitude;  animal food;  Asteraceae;  cultural value;  edible plant;  flower;  forest;  fruit;  habitat;  Himachal Pradesh;  human;  International Union for Conservation of Nature;  medicinal plant;  Medline;  nonhuman;  perception;  plant leaf;  plant root;  plant seed;  plant stem;  product development;  quantitative analysis;  review;  rhizome;  Scopus;  species richness;  systematic review;  Web of Science;  cultural anthropology;  edible plant;  environmental protection;  ethnobotany;  India;  medicinal plant, Conservation of Natural Resources;  Culture;  Ethnobotany;  Forests;  India;  Plants, Edible;  Plants, Medicinal","17464269","10.1186/s13002-020-00405-0","1",NA,NA,NA,NA,"Richness of Non-Timber Forest Products in Himalayan Communities - Diversity, Distribution, Use Pattern and Conservation Status.","selected",NA,"excluded"
