"","x","label","type","author","title","journal","year","volume","url","abstract","publisher","language","keywords","issn","doi","issue","address","edition","editor","pages","citation","screened_titles","notes","screened_abstracts"
"27",457,"Sharma_2018_3B","ARTICLE","Sharma, R. and Singh, H. and Kaushik, M. and Nautiyal, R. and Singh, O.","Adaptive physiological response, carbon partitioning, and biomass production of Withania somnifera (L.) Dunal grown under elevated CO2 regimes","3 Biotech",2018,"8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047445672&doi=10.1007%2fs13205-018-1292-1&partnerID=40&md5=b8899e5662d1703c3bab87f6368e750f","Winter cherry or Ashwagandha (Withania somnifera) is an important medicinal plant used in traditional and herbal medicine system. Yet, there is no information available on response of this plant to changing climatic conditions particularly elevated atmospheric CO2 concentrations. Therefore, we conducted an experiment to examine the effect of elevated CO2 concentrations (ECs) on Withania somnifera. The variations in traits of physiological adaptation, net primary productivity, carbon partitioning, morphology, and biomass in response to elevated CO2 concentrations (ambient, 600 and 800mol mol1) during one growth cycle were investigated within the open top chamber (OTC) facility in the foothill of the Himalayas, Dehardun, India. ECs significantly increased photosynthetic rate, transpiration rate, stomatal conductance, water use efficiency, soil respiration, net primary productivity and the carbon content of plant tissues (leaf, stem, and root), and soil carbon. Furthermore, ECs significantly enhanced biomass production (root and shoot), although declined night leaf respiration. Overall, it was summarized that photosynthesis, stomatal conductance, water use efficiency, leaf, and soil carbon and biomass increased under ECs rendering the physiological adaptation to the plant. Increased net primary productivity might facilitate mitigation effects by sequestering elevated levels of carbon dioxide. We advocate further studies to investigate the effects of ECs on the accumulation of secondary metabolites and health-promoting substances of this as well as other medicinal plants. 2018, Springer-Verlag GmbH Germany, part of Springer Nature.","Springer Verlag","English","carbon dioxide, Article;  biomass production;  carbon partitioning;  evapotranspiration;  medicinal plant;  morphology;  nonhuman;  photosynthesis;  plant growth;  plant leaf;  plant root;  plant stem;  plant water use;  priority journal;  productivity;  shoot;  soil respiration;  stomatal conductance;  Withania somnifera","2190572X","10.1007/s13205-018-1292-1","6",NA,NA,NA,NA,"Adaptive Physiological Response, Carbon Partitioning, and Biomass Production of Withania Somnifera (L.) Dunal Grown under Elevated Co2 Regimes.","selected",NA,"selected"
"28",487,"Mungi_2018_BiolInva","ARTICLE","Mungi, N.A. and Coops, N.C. and Ramesh, K. and Rawat, G.S.","How global climate change and regional disturbance can expand the invasion risk? Case study of Lantana Camara invasion in the Himalaya","Biological Invasions",2018,"20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063810390&partnerID=40&md5=7fd3a76692e81e909e063941b03fe4c3","Presently, it is debated if regional conservation efforts can alone resolve the ecological problems that global climatic changes could bring. Biological invasion is one of such concerns. In the present study, we modeled how change in global climate and regional anthropogenic pressure can impact the distribution of invasive Lantana camara in the Upper Ganga valley of the Western Himalaya (India). The forest in the study area was stratified into 1 km2 grid and two 15 m radius plot were located in each of the forest types in the grid, for recording Lantana presence. In total, 2221 plots were sampled covering 22% of forest. We used predictors representing the climate, forest patch size, fire and natural disaster variables for modeling the species distribution using maximum entropy algorithm. We further simulated 12 future landscape scenarios based on the global trends of these parameters. The present speciesenvironment relationship was projected to these future landscape scenarios. Lantana was presently estimated to spread in 231 km2 of the study area. It invaded larger forest patches in the sub-tropical region, and smaller disturbed forest patches in the warm and cold temperate region. Increased distribution of Lantana was projected across all the future scenarios. The study revealed how global climate changes and regional anthropogenic pressure can have a synergistic effect on the expansion of invasive species in the future. It thus questions the efficiency of conducting only regional efforts in absence of global initiative to reduce the greenhouse gases emission. Springer International Publishing AG, part of Springer Nature 2017.","Springer International Publishing","English","algorithm;  anthropogenic effect;  biological invasion;  climate change;  entropy;  environmental disturbance;  global change;  greenhouse gas;  risk assessment;  shrub, Himalayas, Lantana;  Lantana camara","13873547",NA,"7",NA,NA,NA,"1849-1863","How Global Climate Change and Regional Disturbance can Expand the Invasion Risk? Case Study of Lantana Camara Invasion in the Himalaya.","selected",NA,"selected"
"29",536,"Ghosh_2017_QuatScieRevi","ARTICLE","Ghosh, R. and Bruch, A.A. and Portmann, F. and Bera, S. and Paruya, D.K. and Morthekai, P. and Ali, S.N.","A modern pollenclimate dataset from the Darjeeling area, eastern Himalaya: Assessing its potential for past climate reconstruction","Quaternary Science Reviews",2017,"174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029500852&doi=10.1016%2fj.quascirev.2017.09.002&partnerID=40&md5=29d95ab3e9546e06c50a5cd42ff00f71","Relying on the ability of pollen assemblages to differentiate among elevationally stratified vegetation zones, we assess the potential of a modern pollen-climate dataset from the Darjeeling area, eastern Himalaya, in past climate reconstructions. The dataset includes 73 surface samples from 25 sites collected from a c. 1303600 m a.s.l. elevation gradient along a horizontal distance of c. 150 km and 124 terrestrial pollen taxa, which are analysed with respect to various climatic and environmental variables such as mean annual temperature (MAT), mean annual precipitation (MAP), mean temperature of coldest quarter (MTCQ), mean temperature of warmest quarter (MTWQ), mean precipitation of driest quarter (MPDQ), mean precipitation of wettest quarter (MPWQ), AET (actual evapotranspiration) and MI (moisture index). To check the reliability of the modern pollen-climate relationships different ordination methods are employed and subsequently tested with HuismanOlffFresco (HOF) models. A series of pollenclimate parameter transfer functions using weighted-averaging regression and calibration partial least squares (WA-PLS) models are developed to reconstruct past climate changes from modern pollen data, and have been cross-validated. Results indicate that three of the environmental variables i.e., MTCQ, MPDQ and MI have strong potential for past climate reconstruction based on the available surface pollen dataset. The potential of the present modern pollen-climate relationship for regional quantitative paleoclimate reconstruction is further tested on a Late Quaternary fossil pollen profile from the Darjeeling foothill region with previously reconstructed and quantified climate. The good agreement with existing data allows for new insights in the hydroclimatic conditions during the Last glacial maxima (LGM) with (winter) temperature being the dominant controlling factor for glacial changes during the LGM in the eastern Himalaya. 2017 Elsevier Ltd","Elsevier Ltd","English","Climate change;  Glacial geology;  Least squares approximations;  Transfer functions, Himalayas;  Model validation;  Modern pollen-climate relationship;  Paleoclimate reconstruction;  WA-PLS method, Climate models, climate change;  climate conditions;  data set;  ecozone;  fossil;  Last Glacial Maximum;  model validation;  numerical method;  numerical model;  paleoclimate;  pollen;  precipitation (climatology);  Quaternary;  reconstruction;  terrestrial environment;  transfer function;  vegetation type, Darjeeling;  Himalayas;  India;  West Bengal","02773791","10.1016/j.quascirev.2017.09.002",NA,NA,NA,NA,"63-79","a Modern Pollenclimate Dataset from the Darjeeling Area, Eastern Himalaya: Assessing Its Potential for Past Climate Reconstruction.","unknown",NA,"selected"
"30",555,"Sharma_2017_ModEarSysandEnv","ARTICLE","Sharma, T. and Singh, O.","Soil erosion susceptibility assessment through geo-statistical multivariate approach in Panchkula district of Haryana, India","Modeling Earth Systems and Environment",2017,"3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082683276&doi=10.1007%2fs40808-017-0331-y&partnerID=40&md5=5c0ee07949e3f86fe165ac9e16046495","The aim of the present study is to map and evaluate the soil erosion susceptibility in Panchkula district of Haryana. Based on field survey and information analysis, 12 factors such as rainfall, vegetation cover, soil type, geomorphology, slope angle, stream power, slope length, topographical curvature, drainage density, topographical wetness, land use/land cover, and slope aspect have been identified as soil erosion stimulating factors. Different thematic layers of these parameters using remote sensing data and geographical information system (GIS) have been generated and subsequently integrated with the weighted index overlay (WIO) method for the identification and delineation of soil erosion prone areas. The weight of each thematic layer corresponding to the susceptibility level has been determined through the rank sum method technique. The obtained results reveal that about 32% area of the district is prone to high and very high erosion which spreads in north-western parts. In order to test the reliability of the adopted model for soil erosion susceptibility, validation procedures have been executed. Soil erosion susceptibility assessment commenced by means of geo-statistical multivariate approach may be very useful for planning erosion control measures, which is a prerequisite for integrated soil and water resources management in the district. 2017, Springer International Publishing Switzerland.","Springer Science and Business Media Deutschland GmbH","English","erosion control;  erosion rate;  geological mapping;  GIS;  ground conditions;  multivariate analysis;  soil erosion;  soil management;  thematic mapping, Haryana;  India","23636203","10.1007/s40808-017-0331-y","2",NA,NA,NA,"733-753","Soil Erosion Susceptibility Assessment Through Geo-Statistical Multivariate Approach in Panchkula District of Haryana, India.","unknown",NA,"selected"
"31",569,"Bhat_2017_PlanArch","ARTICLE","Bhat, A. and Gupta, B. and Paray, P.A. and Khan, P.A. and Singh, N. and Negi, R.","Floral biodiversity along the altitudinal gradient in northwest Himalayas","Plant Archives",2017,"17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019615140&partnerID=40&md5=d5bd69c73d93f0de810122a762a1714a","The present investigation was carried out in Sirmour district of Himachal Pradesh during the year 2011-12 with the aim to assess floristic composition, and their structural attributes. Five different forests were selected along the altitude viz., Acacia and Chir pine (Sub tropical forests) and Mixed, Deodar and Fir-Spruce (Temperate forests). Structural parameters of trees, shrubs and monthly herbaceous vegetation in each forest were studied by laying down five sample plot of 0.1 ha. These forests comprised of 122 plant species under 113 genera and 53 families. Monthly Shannon Weiner index of herbaceous vegetation in different forests ranged between 2.30 (October) to 3.02 (August) in Acacia forest, 2.54 (August) to 2.71 (October) in Chir pine forest, 2.60 (October) to 3.18 (August) in Mixed forest, 2.29 (July) to 2.81 (August) in Deodar forest and 2.65 (July) to 3.16 (August) in Fir-Spruce forest. The monthly diversity index value of herbaceous vegetation in different forests ranged between 0.52(July) to 0.90 (August) for Acacia forest, 0.85 (August) to 0.90 (July) for Chir pine forest, 0.85 (July) to 0.94 (August) for Mixed forest, 0.70 (July) to 0.85 (October) for Deodar forest and 0.86 (July) to 0.93 (August) for Fir- Spruce forest Monthly species richness index for herbaceous vegetation in different forests ranged between 2.39 (July) to 4.06 (August) for Acacia forest, 2.45 (September) to 3.33 (July) for Chir pine forest, 2.77 (October) to 4.82 (July) for Mixed forest, 2.62 (October) to 4.23 (August) and 3.14 (July) to 4.65 (August) for Fir-Spruce forest. Overall, vegetation indices viz., Shannon Weiner, Simpson's diversity and Species richness exhibited maximum values in Mixed forest, whereas, Species Evenness and Concentration of Dominance were highest in Fir-Spruce and Chir pine forests, respectively. Similarity index among the forests decreased with increase in altitude.","Plant Archives","English",NA,"09725210",NA,"1",NA,NA,NA,"219-231","Floral Biodiversity along the Altitudinal Gradient in Northwest Himalayas.","selected",NA,"selected"
"32",571,"Shaheen_2017_EuraSoilScie","ARTICLE","Shaheen, H. and Saeed, Y. and Abbasi, M.K. and Khaliq, A.","Soil carbon stocks along an altitudinal gradient in different land-use categories in Lesser Himalayan foothills of Kashmir","Eurasian Soil Science",2017,"50","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018269302&doi=10.1134%2fS106422931704010X&partnerID=40&md5=e4931282806c05237b2aeacf252e3027","The carbon sequestration potential of soils plays an important role in mitigating the effect of climate change, because soils serve as sinks for atmospheric carbon. The present study was conducted to estimate the carbon stocks and their variation with altitudinal gradient in the Lesser Himalayan foothills of Kashmir. The carbon stocks were estimated in different land use categories, namely: closed canopy forests, open forests, disturbed forests, and agricultural lands within the altitudinal range from 900 to 2500 m. The soil carbon content was determined by the WalkleyBlack titration method. The average soil carbon stock was found to be 2.59 kg m2. The average soil carbon stocks in closed canopy forests, open forests, and disturbed forests were 3.39, 2.06, and 2.86 kg m2, respectively. The average soil carbon stock in the agricultural soils was 2.03 kg m2. The carbon stocks showed a significant decreasing trend with the altitudinal gradient with maximum values of 4.13 kg m2 at 9001200 m a.s.l. and minimum value of 1.55 kg m2 at 21002400 m a.s.l. The agricultural soil showed the least carbon content values indicating negative impacts of soil plowing, overgrazing, and soil degradation. Lower carbon values at higher altitudes attest to the immature character of forest stands, as well as to degradation due to immense fuel wood extraction, timber extraction, and harsh climatic conditions. The study indicates that immediate attention is required for the conservation of rapidly declining carbon stocks in agricultural soils, as well as in the soils of higher altitudes. 2017, Pleiades Publishing, Ltd.","Maik Nauka-Interperiodica Publishing","English","agricultural soil;  bulk density;  carbon sequestration;  deforestation;  forest canopy;  land use;  slope;  soil carbon;  soil erosion, Himalayas;  India;  Jammu and Kashmir;  Lesser Himalayas","10642293","10.1134/S106422931704010X","4",NA,NA,NA,"432-437","Soil Carbon Stocks along an Altitudinal Gradient in Different Land-Use Categories in Lesser Himalayan Foothills of Kashmir.","selected",NA,"selected"
"33",575,"Khan_2017_PlaSysandEvo","ARTICLE","Khan, M.A. and Spicer, R.A. and Spicer, T.E.V. and Bera, S.","Evidence for diversification of Calophyllum L. (Calophyllaceae) in the Neogene Siwalik forests of eastern Himalaya","Plant Systematics and Evolution",2017,"303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012253403&doi=10.1007%2fs00606-016-1376-5&partnerID=40&md5=fe48e10fa7d887dbee70f111dc9d51a7","Here, we report fossil leaves, woods, and pollen grains comparable to Calophyllum L. (mainly to Calophyllum inophyllum L. and Calophyllum polyanthum Wall. ex Choisy) of Calophyllaceae from the upper (Kimin Formation, late Pliocene-early Pleistocene), middle (Subansiri Formation, Pliocene) Siwalik sediments of the Arunachal sub-Himalaya, and lower (Gish Clay Formation of Sevok Group; middle to late Miocene) Siwalik sediments of the Darjeeling foothills, eastern Himalaya. Their presence indicates a warm and humid tropical environment in the region during the period of Siwalik sedimentation. Considering all records of Calophyllum, it is suggested that Calophyllum was a frequent forest element throughout the period of Siwalik sedimentation during the Neogene (Miocene time). At present, C. polyanthum grows in the eastern Himalaya, but C. inophyllum is totally absent from north-eastern regions suggesting differential adaptability of these taxa to changing ecoclimatic conditions. Distinct climate change in the area, possibly related to the Himalayan Orogeny during MiocenePleistocene times, might have caused the disappearance of C. inophyllum from the entire eastern Himalaya and north-east Indian plains and a move to littoral/coastal and swampy forests of India and other adjoining south-east Asian regions, Polynesia, and the east coast of Africa. The past global distribution of Calophyllum is also discussed, and it is suggested that India may have been its primary centre of origin. This is the first time Cenozoic fossil leaves Calophyllum siwalikum Khan, R.A.Spicer & Bera, sp. nov. comparable to C. inophyllum are described using the both macro- and micromorphological characters. 2017, Springer-Verlag Wien.","Springer-Verlag Wien","English",NA,"03782697","10.1007/s00606-016-1376-5","3",NA,NA,NA,"371-386","Evidence for Diversification of Calophyllum L. (Calophyllaceae) in the Neogene Siwalik Forests of Eastern Himalaya.","selected",NA,"selected"
"34",584,"Behera_2017_EcolEngi","ARTICLE","Behera, S.K. and Sahu, N. and Mishra, A.K. and Bargali, S.S. and Behera, M.D. and Tuli, R.","Aboveground biomass and carbon stock assessment in Indian tropical deciduous forest and relationship with stand structural attributes","Ecological Engineering",2017,"99","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007071191&doi=10.1016%2fj.ecoleng.2016.11.046&partnerID=40&md5=35863ea6c33c0aef29eabaaf2d179ae1","Indian tropical deciduous forest due to higher species richness, irregular stem densities and stem cover, multistoried canopy and microclimate, offers dynamism to the understanding of the spatial patters in aboveground biomass (AGB) and carbon (AGBC) within different plant functional types (PFTs). Field-based AGB and AGBC estimates are vital for carbon cycle study and provide inputs for data-deficit regional and global carbon and climate models. In this paper we generated the primary baseline data on tree composition, species richness (SR), AGB and AGBC gathered from nine 10,000 m2 long-term ecological research (LTER) plots in three distinct PFTs {dry mixed (DM), sal mixed (SM) and teak plantation (TP)} within an Indian tropical deciduous forest along Himalayan foothills during 20092012. The functional relationship of PFT structural attributes i.e. SR, density, basal cover, leaf area index and litter fall on AGB was investigated. PCA was applied to study the relationship between PFT microclimate, structural attributes and diversity vs. AGB. A total of 22, 22 and 6 tree species were found in DM, SM and TP PFT, respectively. Shannon's diversity index was highest (2.46) in DM, whereas Simpson's dominance index was maximum (0.85) in TP. AGB (Mg ha1) ranged from 290.82455.99 among all PFTs. AGBC (Mg ha1) ranged between 207.52220.34, 215.58228.87, and 125.94141.18 in DM, SM and TP respectively. AGB observed strong positive correlation with tree density and cover. PCA revealed humidity and air temperature as the major microclimatic variables, leading to higher AGB. 2016 Elsevier B.V.","Elsevier B.V.","English","Biomass;  Climate models;  Plants (botany);  Tropics, Above ground biomass;  Carbon sequestration;  Litter fall;  Plant functional type;  Tropical deciduous forest, Forestry, aboveground biomass;  carbon sequestration;  climate modeling;  deciduous forest;  diversity index;  ecosystem function;  functional role;  global climate;  stand dynamics;  stand structure;  tropical forest, Himalayas;  India, Tectona grandis","09258574","10.1016/j.ecoleng.2016.11.046",NA,NA,NA,NA,"513-524","Aboveground Biomass and Carbon Stock Assessment in Indian Tropical Deciduous Forest and Relationship with Stand Structural Attributes.","selected",NA,"selected"
"35",610,"Areendran_2017_TropEcol","ARTICLE","Areendran, G. and Raj, K. and Mazumdar, S. and Sharma, A.","Land use and land cover change analysis for Kosi river wildlife corridor in Terai Arc landscape of Northern India: Implications for future management","Tropical Ecology",2017,"58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012888132&partnerID=40&md5=6ae2973ff5efacbd1c4910f050a12100","This study is an attempt to characterize spatial and temporal patterns of land use land cover (LULC) changes, rate of deforestation, and develop future scenarios for Kosi River wildlife corridor using geospatial tools. One of the key corridors of Terai Arc Landscape, in the Himalayan foothills of northern India, Kosi River corridor provides crucial linkage between the Jim Corbett Tiger Reserve and the Ramnagar Forest Division. Growing anthropogenic disturbances in the landscape have led to fragmentation of existing wildlife habitats. The changes were mapped using remotely sensed multi-date satellite images (2009 and 2014) in geographic information system. Land Change Modeler was used to predict LULC distribution for 2020 and 2030 using current disturbance scenarios. The predicted map showed that if the current probability of change persists, dense forest would witness a decline of about 8.5 km in area, while area under plantation would occupy 4.31% (27.9 km2) of the total area by 2030. These changes are significant given the fact that the area is under protected area status. The study indicates that manmade obstructions, in the form of construction of resorts, buildings and residential houses, all along the Kosi River are the major reasons for increasing deforestation. Loss in forest cover outside Corbett Tiger Reserve may lead to loss of important connectivity between the core protected ecosystems, breaking the continuity of genetic exchanges amongst spatially isolated wildlife populations. International Society for Tropical Ecology.","International Society for Tropical Ecology","English","anthropogenic effect;  deforestation;  future prospect;  GIS;  habitat corridor;  habitat fragmentation;  land cover;  land use change;  probability;  protected area;  remote sensing;  satellite imagery;  spatiotemporal analysis, Corbett National Park;  Himalayas;  India;  Kosi River;  Uttarakhand","05643295",NA,"1",NA,NA,NA,"139-149","Land Use and Land Cover Change Analysis for Kosi River Wildlife Corridor in Terai Arc Landscape of Northern India: Implications for Future Management.","unknown",NA,"selected"
"36",625,"Bhardwaj_2016_EnvMonandAss","ARTICLE","Bhardwaj, D.R. and Banday, M. and Pala, N.A. and Rajput, B.S.","Variation of biomass and carbon pool with NDVI and altitude in sub-tropical forests of northwestern Himalaya","Environmental Monitoring and Assessment",2016,"188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992560636&doi=10.1007%2fs10661-016-5626-3&partnerID=40&md5=55b56a304ed9e9b2840932bfc2ed6a43","In the present study, forests at three altitudes, viz., A1 (600900m), A2 (9001200m) and A3 (12001500m) above mean sea level having normalised differential vegetation index (NDVI) values of N1 (0.00.1), N2 (0.10.2), N3 (0.20.3), N4 (0.30.4) and N5 (0.40.5) were selected for studying their relationship with the biomass and carbon pool in the state of Himachal Pradesh, India. The study reported maximum stem density of (928 trees ha1) at the A2 altitude and minimum in the A3 and A1 with 600 trees ha1 each. The stem densities in relation to NDVIs were observed in the order N5 &gt; N3 &gt; N4 &gt; N1 &gt; N2 and did not show any definite trend with increasing altitude. Highest stem volume (295.7m3ha1) was observed in N1 NDVI and minimum (194.1m3ha1) in N3 index. The trend observed for stem biomass at different altitudes was A3 &gt; A1 &gt; A2 and for NDVIs, it was N5 &gt; N1 &gt; N4 &gt; N2 &gt; N3. Maximum aboveground biomass (265.83tha1) was recorded in the 0.00.1 NDVI and minimum (169.05tha1) in 0.20.3 NDVI index. Significantly, maximum total soil carbon density (90.82t C ha1) was observed in 0.40.5 NDVI followed by 0.30.4 NDVI (77.12t C ha1). The relationship between soil carbon and other studied parameters was derived through different functions simultaneously. Cubic function showed highest r2 in most cases, followed by power, inverse and exponential function. The relationship with NDVI showed highest r2 (0.62) through cubic functions. In relationship between ecosystem carbon with other parameters of different altitudinal gradient and NDVI, only one positively significant relation was formed with total density (0.579) through cubic function. The present study thus reveals that soil carbon density was directly related to altitude and NDVIs, but the vegetation carbon density did not bear any significant relation with altitude and NDVI. 2016, Springer International Publishing Switzerland.","Springer International Publishing","English","Biomass;  Exponential functions;  Remote sensing;  Sea level;  Soils;  Vegetation, Above ground biomass;  Carbon stocks;  Ecosystem carbons;  Forest biomass;  Himachal Pradesh , India;  Himalayas;  Total soil carbon;  Vegetation index, Forestry, carbon;  carbon;  soil, aboveground biomass;  altitude;  NDVI;  remote sensing;  soil carbon;  tropical forest, Acacia catechu;  agricultural parameters;  altitude;  Anogeissus latifolia;  Article;  Berberis;  Berberis lyceum;  biomass;  Carissa carandus;  Cassia fistula;  controlled study;  environmental parameters;  environmental temperature;  Flacourtia indica;  Justicia adhatoda;  Lannea coramandelica;  Lantana camara;  leaf litter;  Mallotus philippinensis;  Murraya koenigii;  nonhuman;  normalised differential vegetation index;  oak;  plant height;  plant stem density;  Quercus leucotrichophora;  Rubus;  Rubus ellipticus;  Salicaceae;  seasonal variation;  shrub;  soil pollution;  tree;  tropical rain forest;  vegetation;  biomass;  chemistry;  ecosystem;  forest;  India;  plant;  plant stem;  soil, Himachal Pradesh;  Himalayas;  India, Altitude;  Biomass;  Carbon;  Ecosystem;  Forests;  India;  Plant Stems;  Plants;  Soil;  Trees","01676369","10.1007/s10661-016-5626-3","11",NA,NA,NA,NA,"Variation of Biomass and Carbon Pool with Ndvi and Altitude in Sub-Tropical Forests of Northwestern Himalaya.","unknown",NA,"selected"
"37",630,"Khan_2016_ReofPaanPa","ARTICLE","Khan, M.A. and Spicer, R.A. and Spicer, T.E.V. and Bera, S.","Occurrence of Shorea Roxburgh ex C. F. Gaertner (Dipterocarpaceae) in the Neogene Siwalik forests of eastern Himalaya and its biogeography during the Cenozoic of Southeast Asia","Review of Palaeobotany and Palynology",2016,"233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981717924&doi=10.1016%2fj.revpalbo.2016.07.011&partnerID=40&md5=afde6312f28cd008d9078f335531792c","We report the occurrence of two leaf impressions and one leaf compression along with one winged fruit and two fruiting calyx lobes, resembling those of Shorea Roxburgh ex C. F. Gaertner, in the lower Siwalik (Dafla Formation, middle to upper Miocene), middle Siwalik (Subansiri Formation, Pliocene) and upper Siwalik (Kimin Formation, upper Pliocene to lower Pleistocene) sediments exposed in Arunachal Pradesh, eastern Himalaya. We determine their taxonomic positions based on morphological comparison with similar extant and fossil specimens and discuss their phytogeographic and paleoclimatic implications in terms of the distribution and habitat of fossil and modern populations. The Miocene winged fruit is recognized as Shorea pinjoliensis Khan, R.A. Spicer et Bera, sp. nov. while the Pliocene and Plio-Pleistocene fruiting calyx lobes are recognized as Shorea bhalukpongensis Khan, R.A. Spicer et Bera, sp. nov. and Shorea chandernagarensis Khan, R.A. Spicer et Bera, sp. nov. respectively. Based on leaf architecture the Miocene, Pliocene and Plio-Pleistocene leaves are recognized as Shorea mioobtusa Khan, R.A. Spicer et Bera, sp. nov., Shorea pliotumbuggaia Khan, R.A. Spicer et Bera, sp. nov. and Shorea nepalensis Konomatsu et Awasthi respectively. The discovery of members of Shorea indicates that they had arrived in a tropical, warm and humid eastern Himalaya by the Mio-Pleistocene. Present and earlier records of Shorea suggest that this genus was a common forest element during Neogene (Miocene time) as well as in the Siwalik forests including Arunachal sub-Himalaya. In this paper, we also review in detail the biogeographic history and suggest possible migration routes of the genus. 2016 Elsevier B.V.","Elsevier B.V.","English","biogeography;  Cenozoic;  dicotyledon;  fruit;  leaf;  Miocene;  morphology;  paleoclimate;  phytogeography;  Pleistocene;  species occurrence;  taxonomy;  type specimen, Arunachal Pradesh;  Himalayas;  India;  Siwalik Hills, Dipterocarpaceae;  Shorea","00346667","10.1016/j.revpalbo.2016.07.011",NA,NA,NA,NA,"236-254","Occurrence of Shorea Roxburgh Ex C. F. Gaertner (Dipterocarpaceae) in the Neogene Siwalik Forests of Eastern Himalaya and Its Biogeography During the Cenozoic of Southeast Asia.","selected",NA,"selected"
"38",665,"Singh_2016_TropEcol","ARTICLE","Singh, N. and Patel, N.R. and Singh, J. and Raja, P. and Soni, P. and Parihar, J.S.","Carbon exchange in some invasive species in the Himalayan foothills","Tropical Ecology",2016,"57","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949257394&partnerID=40&md5=df9c04fbbdd9d5636ce8b5808f39be6c","This study focuses on analyzing the behavior and seasonality in the canopy carbon exchange of a subtropical ecosystem at the Himalayan foothills and comprises three important invasive species: Lantana camara, Ageratum conyzoides and Bidens biternata. Systematic sampling on the daily CO2 exchange process and biophysical parameters formed the basis of this investigation. The analyses based on year-round in-situ measurements showed that mean daily net canopy carbon exchange (net primary productivity) of the system (all species in totality) was 11.8 g C m-2 day-1 (41.5 t C ha-1yr-1). All species had almost equal contribution to the system NPP and they were in order of A. conyzoides (14.6 t C ha-1yr-1), B. biternata (13.8 t C ha-1yr-1) and L. camara (13.1 t C ha-1yr-1). Light use efficiency (LUE) exhibited a bimodal trend with peaks in early (Jun - Jul) and post-monsoon (Oct - Nov) season. Mean LUE of L. camara was 20.8 10.9 mmol CO2 mol-1 PAR, while that of A. conyzoides and B. biternata were 24.7 9.9 and 22.8 10.4 mmol CO2 mol-1 PAR, respectively. Maximum net canopy assmilation (Cnar) was observed in the post-monsoon period and minimum in the winter (Dec). 15 - 50% of the Cnar was lost as night-time plant respiration across an annual growth cycle with maximum during winter and minimum in the post-monsoon season. These species together absorbed comparably equal or even more carbon than that of mature forests. However, the carbonretaining capacity of these species is limited due to the short growth cycle. International Society for Tropical Ecology.","International Society for Tropical Ecology","English","carbon dioxide;  carbon flux;  ecophysiology;  invasive species;  light use efficiency;  photosynthesis;  respiration, Ageratum conyzoides;  Bidens biternata;  Lantana camara","05643295",NA,"2",NA,NA,NA,"263-270","Carbon Exchange in some Invasive Species in the Himalayan Foothills.","selected",NA,"selected"
